window,k,skew,cool,round,day,sample_type,profit
200,1.5,1.2,500,4,1,OOS,690
200,1.5,1.2,500,4,2,OOS,1338
200,1.5,1.2,500,4,3,OOS,490
200,1.5,1.2,500,5,2,OOS,1338
200,1.5,1.2,500,5,3,OOS,490
200,1.5,1.2,500,5,4,OOS,975
30,2.0,0.8,700,1,-2,IS,190
30,2.0,0.8,700,1,-1,IS,186
30,2.0,0.8,700,1,0,IS,180
30,2.0,0.8,700,2,-1,IS,186
30,2.0,0.8,700,2,0,IS,180
30,2.0,0.8,700,2,1,IS,112
30,2.0,0.8,700,3,0,IS,180
30,2.0,0.8,700,3,1,IS,112
30,2.0,0.8,700,3,2,IS,348
30,2.0,0.8,700,4,1,OOS,112
30,2.0,0.8,700,4,2,OOS,348
30,2.0,0.8,700,4,3,OOS,171
30,2.0,0.8,700,5,2,OOS,348
30,2.0,0.8,700,5,3,OOS,171
30,2.0,0.8,700,5,4,OOS,133
50,1.5,1.0,300,1,-2,IS,2005
50,1.5,1.0,300,1,-1,IS,524
50,1.5,1.0,300,1,0,IS,496
50,1.5,1.0,300,2,-1,IS,524
50,1.5,1.0,300,2,0,IS,496
50,1.5,1.0,300,2,1,IS,1689
50,1.5,1.0,300,3,0,IS,496
50,1.5,1.0,300,3,1,IS,1689
50,1.5,1.0,300,3,2,IS,169
50,1.5,1.0,300,4,1,OOS,1689
